"Based on noiseRem,RT,Repeat Rem",,Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx21,Cortx23,Cortx22,Cortx30,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3,Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,QCCortx 1,QCCortx 2,QCCortx 3,QCCortx 4,QCCortx 5,QC HIP1,QC HIP 2,QC HIP3,QC HIP 4,QC HIP 5,QC Mix 1,QC Mix 2,QC Mix 3,QC Mix 4,QC Mix 5
Accepted Compounds,Cleaned Names,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,QCCortx,QCCortx,QCCortx,QCCortx,QCCortx,QCHip,QCHip,QCHip,QCHip,QCHip,QCMix,QCMix,QCMix,QCMix,QCMix
1,PS(22:6/22:4),-1.131186763,-0.139979242,0.174024574,0.063278641,0.086510697,0.35814472,-0.370171677,-0.338364534,0.075043259,0.27212148,0.781085586,0.362049765,-0.639348318,0.318802215,0.176824032,0.289780575,-0.186398622,0.250418783,0.185020013,0.409235009,-0.116869378,0.206925554,0.232022355,0.659693176,0.083844098,-0.796761951,-0.167867163,0.114070088,-0.024059354,-0.003085118,0.498686466,0.219407736,-0.491120013,-0.319319228,-0.150083195,-0.024778337,-0.022638373,-0.38071428,-0.22947977,-0.070785007,0.301605909,-0.342690953,0.569132505,0.513309816,0.100437555,-0.038603608,0.488090279,-0.271150551,-0.6879328,0.494106426,-0.014501217,-0.016811116,0.315003593,0.160144924,0.551589521,-0.352758467,-0.704114737,-0.716656234,0.349504036,-0.026962245,0.267106017,0.222840455,0.095591145,0.195596784,-0.166540411,0.024806708,-0.085055334,-0.05245708,0.061700194,-0.147050927,-0.003974709,-0.144420596,-0.304340661,-0.253565932,-0.180716272,-0.004335533,-0.134389956,-0.165694972,-0.109820054
2,DG(16:0/20:3),-0.341960102,-0.126284823,-0.841879045,0.166400215,-0.366118399,0.39989812,0.069789884,-1.01525997,0.181571637,0.314154936,0.014430552,-0.32698129,-0.687551516,0.203838622,0.183882397,0.193663791,-0.56625977,-0.370088996,-0.155709716,-0.205738574,-0.123976696,-0.141127695,0.120621778,0.119900847,-0.130821927,-0.211293221,-0.23699635,-0.499085065,-0.046107681,-0.281407805,0.283451405,0.201525128,-0.073568364,-0.24160446,0.179113326,0.982871976,0.014748745,0.448706399,0.521259791,0.123922459,0.112180838,0.353877582,0.096183335,0.104798701,0.165774001,0.377672628,0.788736507,0.310671289,-0.76078021,0.328729787,-0.14907007,0.091603977,0.054179326,-0.262517071,0.376716407,0.34977026,-0.210138784,-0.227884271,0.154529406,-0.067913831,-0.086493494,0.160616537,0.059307375,0.018240637,-0.590835933,-0.041751647,-0.169287819,-0.375279185,-0.450555878,0.05689625,0.365300441,0.422484546,0.348468255,0.221612393,-0.028878853,0.042191845,0.175149203,0.031781659,0.119983314
3,PE-NMe2(20:4/24:0),0.008212303,0.314853508,-0.269807578,-0.136904604,-0.104620702,-0.1687665,0.297743017,-0.026003132,0.009923722,0.444351655,0.110142992,0.040990098,-0.244126943,-0.272234225,0.038960815,0.14920032,0.138226696,0.204970796,0.15078873,0.229539591,-0.003721186,-0.21085159,0.13439598,-0.374353388,0.15408627,0.211996487,-0.015688663,0.353362904,0.541559038,-0.176522109,-0.318303256,-0.205831779,0.162858937,0.768266343,0.2082378,0.13073306,0.115595572,0.061950771,-0.400118221,0.107015771,0.08357111,0.189488205,0.080222466,0.035067468,0.234789786,-0.449701019,-0.372880375,0.044586291,0.072737445,0.083288069,0.500669545,0.200602203,0.109233805,-0.051489619,-0.018724184,-0.082979639,0.267531199,0.340854038,-0.094760573,0.39918717,-0.104091612,-0.328837748,-0.003167861,0.308292248,-0.011732398,-0.181475444,-0.234113352,-0.299656431,-0.371590117,0.048606036,-0.126809606,-0.314533626,-0.375002508,-0.379427776,-0.167435323,-0.218763233,-0.307275387,-0.351081288,-0.313307269
4,PE(18:0/20:1),-0.058596014,-0.001993217,-0.237563129,-0.018717579,0.020617227,0.05973632,0.634511691,0.180819046,-0.24759798,-0.157141613,-0.102252459,-0.463002395,0.895313325,-0.064219277,-0.029455859,0.077011035,0.371318054,-0.251438901,-0.03670727,-0.277333776,0.033467127,-0.107955254,-0.074020659,-0.890153905,0.267923124,-0.009370878,-0.167167632,-0.316644617,-0.033008759,-0.061843576,-0.408204339,-0.224446739,0.398509671,0.239452413,0.228179578,-1.234597184,0.463965589,0.759178593,-0.397147185,0.363504573,-0.030348768,0.168371584,-0.008042069,-0.043551279,-0.378368278,-0.307386571,-1.125400294,0.07157514,0.065710936,0.759654925,0.182432492,0.305371729,0.16903105,0.16174644,-0.180402223,0.36660169,0.561901629,0.334236164,0.033761374,0.414596381,0.672533443,0.092914252,0.737481634,0.186953671,0.050112438,-0.494853346,-0.301781116,-0.090976713,0.151711663,0.047021334,-0.250945433,-0.269087581,-0.251500159,-0.072476428,-0.184612981,-0.19075194,-0.17360462,-0.170321937,-0.132235401
5,(3'-sulfo)Galbeta-Cer(d18:1/16:0(2OH)),-0.563746065,-0.21441103,-0.352056924,-0.014894965,0.043850772,-0.014723491,-0.299360241,-0.337343583,-0.315364476,-0.062448406,-0.391548202,-0.068839873,-0.958349933,-0.039177946,-0.336474358,0.0672388,-0.129349906,-0.267855503,-0.055553467,0.06924908,-0.187358514,0.034872315,0.010057493,0.164454423,-0.414425032,-0.359341769,-0.223483514,-0.135977961,-0.031062344,-0.17570894,-0.031277836,0.068252332,-0.224743493,0.049310515,0.308835087,0.575482606,0.321847224,0.25493659,0.603240853,0.200266861,0.116018859,0.165566986,0.047678192,0.238066209,0.139571386,0.403422029,0.346685987,0.129033872,-0.095675594,0.054500717,0.027965063,0.144016453,0.394250748,0.075604088,0.451218936,0.398789839,-0.497699847,-0.112013009,0.096787948,0.126051831,-0.201772011,0.614313387,0.183375863,0.086720823,-0.471881295,-0.148094198,-0.006712886,-0.239583019,-0.410005238,0.044336597,0.231025433,0.258592588,0.267355849,0.236318169,-0.166195429,0.126990229,0.184422441,0.215687638,-0.021752812
6,PC(18:0/24:4),0.029939621,-0.149681549,0.53218043,0.115673775,-0.12622161,0.061427281,-0.149986533,0.206765286,-0.154434804,0.164652303,0.26307594,0.416244552,-0.736612055,0.194634769,0.169249699,-0.112272443,-0.245972831,0.440673299,-0.14643119,0.40761879,0.187800655,0.279594324,0.224703695,0.383149491,-0.095739729,0.005445172,-0.040452937,0.152897744,0.232366696,0.427962841,0.310540938,0.116170582,-0.195570928,-0.302576197,0.076316405,0.085395331,-0.183320242,-0.652897265,-0.382667535,0.014893886,-0.48057682,-0.396456809,-0.287304634,-0.247975775,-0.015807496,-0.256864734,0.30946695,0.016029291,-0.50317099,-0.766967294,-0.072606031,-0.007584824,-0.182388084,-0.210121409,0.101130468,-0.316402501,-0.372439598,-0.451780778,-0.180684811,-0.173279525,-0.300012342,-0.183696745,-0.081670629,-0.047825152,-0.126013671,0.413634707,0.510474366,0.359163781,0.403587586,-0.189513856,0.091628658,0.252833082,0.205587438,0.128338407,0.038900691,0.277525013,0.293182839,0.326622371,0.298503203
7,HexCer(d18:1/26:1),0.24954808,0.16725719,-0.238848227,0.019478986,0.173691179,-0.230654934,0.469457213,0.24819109,0.236729289,0.056811534,0.114378056,-0.28065758,0.654950427,-0.152445251,0.061993263,0.183992899,0.628612503,-0.127105557,0.265608512,-0.124798813,0.012660411,-0.247618118,0.192212521,-0.871974024,0.294780562,0.37534233,0.02310679,-0.121245033,0.125239561,-0.109779802,-0.24093291,0.047761719,0.20069079,0.2620818,-0.114853112,-0.901911508,0.402601768,0.317917333,-0.548714447,0.058526689,-0.102448497,0.141669077,0.042455411,0.041731084,-0.349219757,-0.310748758,-1.231566729,-0.096667067,0.224378799,0.676915296,0.268870362,0.214289147,0.659791228,0.579636256,-0.097530658,-0.051628366,0.500832883,0.230795417,0.365767702,0.39970742,0.719672637,-0.27014271,0.404495482,-0.280126745,0.122927866,-0.23988607,-0.202194931,-0.20022187,-0.165703667,-0.198780159,-0.352352237,-0.390825787,-0.471286412,-0.611547971,-0.120772438,-0.312657319,-0.379955323,-0.353075073,-0.336680704
8,PS(22:2/24:0),0.138804724,0.036148582,-0.140175242,-0.414430822,-0.107729417,-0.284414605,0.406583045,0.29159049,0.49410799,0.318895809,0.504643301,0.256383255,0.800145135,0.563535598,0.750293452,0.638266195,0.271369116,-0.499400816,0.408361546,0.303167478,0.172371622,-0.231958193,0.528309067,-0.680122573,0.011551326,0.260637136,-0.241037169,-0.397915962,-0.070453405,0.05331311,-0.141499858,0.358490695,-0.067500289,-0.165514964,-0.356672807,-1.902578375,-0.144061569,-0.238501832,-1.099586784,-0.124561094,-0.301281529,0.221531282,0.199006157,-0.507701028,-0.227594088,-0.478948693,-1.273186287,0.194590314,-0.022849576,0.119567864,0.009010113,-0.177214716,0.062098297,-0.024883279,-0.027514001,-0.264771994,-0.003804861,-0.134184429,0.176686792,-0.132455509,0.810342346,-0.78528669,0.184097647,-0.327167543,0.129351541,0.227776742,0.389428346,0.44191748,0.532378098,-0.068202532,0.019757966,-0.064279061,0.02274197,0.003522208,0.082950843,0.134935209,0.12906428,0.219794813,0.251922612
9,LysoPE(20:4),-0.186915497,0.038683085,-0.382005788,0.165724811,-0.171328504,-0.040115127,0.010238329,-0.463815925,0.303351093,0.410803102,0.261498363,0.074450675,-0.937331369,-0.062581275,0.013346656,0.146581426,-0.348459507,0.048175233,-0.187605755,-0.023342199,-0.138278059,-0.186991766,-0.012158636,0.106451552,0.145676867,-0.152578567,0.056148306,-0.295235285,-0.151496011,-0.199512929,0.307861285,-0.012519055,-0.046492492,0.180696882,0.037807482,0.069369855,-0.142679817,0.069475422,0.05428733,0.198790573,0.243821772,0.324941105,0.331192858,0.29901134,0.172210143,0.169961164,0.629477088,0.007219262,-0.207924667,0.050189625,-0.047887616,-0.000981499,-0.050133145,-0.081683216,0.072678909,0.048982073,-0.081016362,0.190792902,0.146631544,0.084131869,0.001641348,-0.177511527,-0.20565222,0.152518935,0.093971228,-0.045003786,-0.155707409,-0.430380605,-0.232092761,0.218067233,0.026497631,0.021264387,0.075843586,-0.049748305,0.041403587,-0.151503975,0.050637761,-0.071775923,-0.022059097
10,DG(18:0/20:2),0.252703617,0.243369962,0.354784681,0.513556195,-0.049008074,-0.195654827,0.054767108,0.113652373,0.531326315,0.400334077,0.310373508,0.5825482,-1.133051176,-0.193298495,-0.244029573,-0.290395225,-0.141575187,0.641789884,0.003038898,0.581646878,-0.366444757,0.323082501,0.05245787,0.140181642,0.398534019,0.021805217,0.44731596,-0.104131318,0.574598712,0.041205393,0.092051714,-0.23269437,0.252379149,0.319611408,-0.105891059,-0.177899237,-0.076409891,-0.424290821,-0.894906553,0.237833312,-0.226274875,0.011463586,0.347587843,-0.094644038,-0.22119206,-0.572399811,0.35030317,-0.173030021,0.149794544,-0.401534335,0.014945562,0.119808225,-0.1170799,-0.063504152,-0.196953221,-0.323483622,0.342861333,0.538180113,0.011967992,0.087545824,-0.081175581,-0.468110354,-0.002317233,-0.143942741,0.3799215,0.022214691,-0.049497179,-0.042944403,-0.087596493,-0.131607452,-0.180385591,-0.271354038,-0.359109158,-0.291040662,0.027204867,-0.115608248,-0.309787414,-0.147806386,-0.186688316
13,HexCer(d18:1/18:1),0.659144764,0.273816338,0.194448653,0.022779123,0.140761645,-0.204087488,0.135675954,0.378270117,0.589511113,0.057859325,0.104042555,0.031148995,-0.48246208,-0.019605652,0.113040983,-0.140807464,0.696041549,-0.300713309,0.16573133,0.158108762,0.042248918,-0.011710327,0.049511805,-0.792692749,0.413026433,0.848078559,0.410703583,-0.107009335,0.034108237,0.033500552,-0.220351446,-0.063816872,0.437060528,0.303384956,-0.07548436,-0.987698982,-0.157950714,-0.276305083,-0.62249469,-0.069463483,-0.388941963,0.063823513,0.309573793,-0.596997433,-0.334424403,-0.580095718,-0.907879297,-0.19585675,0.882442258,-0.062537268,0.433799371,0.22840539,-0.220918264,-0.021927723,-0.431651248,-0.265797164,0.752810569,0.662978041,0.180025398,0.057865996,0.360813032,-0.60066134,0.092633009,-0.375392906,0.519925684,-0.020133328,-0.024074071,0.006413464,0.041420841,-0.00992883,-0.191898326,-0.277913081,-0.284740681,-0.321697309,0.070418799,0.007485672,-0.101015317,-0.130546349,-0.085156804
14,9-octadecenolide,0.22799434,-0.030219981,-0.164693222,0.008725275,0.099204929,-0.180846343,0.28442823,0.1262954,0.127783225,0.119994809,0.070005518,-0.376555595,0.949007912,-0.022999484,0.104002343,0.121381869,0.569255748,-0.257206078,0.272368583,-0.083020647,0.094198309,-0.268162772,0.148596705,-1.071862755,0.197633563,0.309929822,-0.004211795,-0.24977241,0.008094578,-0.038164342,-0.373864309,-0.21978634,0.336132808,0.111582194,-0.082044603,-1.117341964,0.168104565,0.173771531,-0.551199175,0.024527203,-0.121153535,0.423897452,0.224218848,-0.154575228,-0.353853568,-0.464415942,-1.077876771,-0.052796429,0.197688185,0.48737563,0.288231777,0.166342213,0.315475122,0.262406619,-0.148673023,-0.179345239,0.5002136,0.262048021,0.230519447,0.164100438,0.581369007,-0.400330908,0.285838715,-0.174980722,0.32465302,0.026286139,-0.075713435,-0.015272072,-0.075371761,0.044827304,-0.136990458,-0.180046196,-0.164010968,-0.276209614,-0.034960935,0.073582571,-0.079163679,-0.163722208,-0.09067906
15,HexCer(d16:1/24:0),0.411701886,0.288150824,-0.201610682,-0.169748429,0.095151108,-0.318465673,0.400947461,0.180526886,0.361537819,0.253153817,0.100824349,-0.062176048,0.618397346,-0.047541074,0.280557023,0.29927062,0.561796214,-0.146725591,0.361374637,0.072056473,0.119225458,-0.286285042,0.235765763,-0.725783073,0.194302995,0.502206507,0.109998474,-0.210424722,0.242206517,-0.101732481,-0.398386932,-0.136816295,0.259077101,0.345773452,-0.166617073,-1.259405945,0.212284052,0.136780532,-0.775427031,0.094535607,-0.096115641,0.128028538,0.175825207,-0.224935366,-0.304760451,-0.685116106,-1.043834518,0.056479782,0.491001517,0.313173828,0.337342185,0.118705819,0.096743256,0.178769516,-0.096438046,-0.179117819,0.434735956,0.370370631,0.013236716,0.296380907,0.405044554,-0.518862584,0.205494455,-0.216537052,0.265053945,-0.105685616,-0.099001258,-0.055677977,-0.058898341,-0.059872964,-0.25962344,-0.349642379,-0.298187091,-0.245989741,0.017586635,-0.181104604,-0.235071606,-0.180812285,-0.139145394
16,PI(20:4/18:0),-1.220537082,-0.448305532,-0.769470735,-0.038095323,0.090036551,0.274804111,-0.250551494,-1.433130732,-0.893061717,0.175760815,-0.196585212,-0.555703263,-0.379493364,-0.048423519,-0.438486919,-0.18827235,-0.551190589,-0.141025328,0.008737192,-0.219261497,-0.257141261,0.161378734,0.096908284,0.247543932,-0.338437585,-0.641020457,-0.662743805,-0.133897287,-0.07899032,-0.339824893,0.293373839,-0.038286836,-0.130479721,-0.180375382,0.341890081,0.652035751,0.655956512,0.602425635,0.740663923,0.240420139,0.429388368,-0.168444209,0.077485807,0.737046162,0.151340151,0.527090293,0.239357136,0.066702547,-0.880482123,0.676894806,-0.035930541,0.361323196,0.799871781,0.619068985,0.68947309,0.362067684,-0.583096288,-0.55014014,0.419835115,0.376153617,0.077166451,0.920785888,0.513581536,0.72146622,-0.649669924,-0.309077203,-0.280070078,-0.317110417,-0.365279411,0.198617793,0.399664033,0.372119783,0.260016681,0.171707934,-0.023165092,0.064218593,0.020642022,-0.0130222,-0.086741339
17,PE(P-18:0/20:4),-0.489879016,-0.037527577,-0.506363658,-0.039194714,-0.37729166,0.101350329,-0.138104447,-0.801983013,0.00758623,0.166436807,0.030925067,-0.27032088,-0.797975616,-0.036334581,-0.071314253,0.042689218,-0.496918143,-0.213396892,-0.143927346,-0.159159698,-0.219000239,-0.131687263,-0.091885794,0.116832983,-0.266649893,-0.237511962,-0.198067497,-0.400676444,-0.094437157,-0.353358129,0.200631761,-0.011558854,-0.010140215,0.12429219,0.320985854,0.694084335,0.228760925,0.29613304,0.422526843,0.107803093,0.312963569,0.424350517,0.08757287,0.507218291,0.381498056,0.527840034,0.584662396,0.270456665,-0.60311738,0.418924364,0.006557655,0.13761415,0.206018422,0.072098682,0.397850506,0.249924253,-0.290314785,-0.020751047,0.389637477,0.150154212,-0.131126046,0.294369921,0.054816424,0.27187292,-0.482135917,-0.191943757,-0.324068093,-0.436116296,-0.529664682,0.140856497,0.296324286,0.273464717,0.215249236,0.248459456,-0.164867236,0.045835642,0.0301069,-0.039700577,-0.049266036
18,HexCer(d18:0/24:0),-0.330373855,-0.116191731,-0.214886178,0.074919871,0.089601862,0.100781197,0.327260553,-0.180034546,-0.227242133,-0.137885949,-0.010821739,-0.373469837,0.704316309,-0.014249823,-0.041417525,0.242500486,0.078465363,-0.187462565,0.020582885,-0.249743238,0.079028451,-0.346110735,0.228819329,-0.474447029,-0.134742837,-0.406135547,-0.231683847,0.269463708,0.115088558,-0.036239376,0.104389771,0.303477095,-0.100088154,0.035552118,-0.163485601,-0.116378356,0.491180621,0.754535187,0.340355723,0.053175715,-0.122661521,0.038601744,-0.214582073,0.316557804,-0.075414623,0.401449091,-0.518395306,-0.349931061,-0.575908753,0.805412179,-0.332200392,0.076934186,0.9673566,0.737681196,0.391399363,0.293215839,-0.171135261,-0.288353727,0.496004902,0.362631465,0.884977938,0.386423377,0.595493733,0.305313013,-0.655393258,-0.37041755,-0.406001407,-0.342864264,-0.32963977,-0.305588892,-0.126639324,-0.124556726,-0.238742724,-0.339317812,-0.354058244,-0.244934945,-0.259293369,-0.337336897,-0.296488731
19,DG(18:1/20:1),0.373919069,0.184738763,-0.124873665,-0.218461304,-0.027943772,-0.065187633,0.53372695,0.156111476,0.358907203,-0.034497608,0.043359567,-0.34538548,1.433223715,-0.189253191,0.079944167,0.112520019,0.485925786,0.001448287,0.157741786,-0.064302276,-0.006399767,-0.196259227,0.019278356,-1.046018846,0.542778737,0.420949306,0.08635584,-0.297743139,0.245495135,0.04712475,-0.642550052,-0.155433281,0.369603858,0.214312814,-0.159967999,-1.030217225,0.381682948,0.438274361,-0.7441427,0.193743328,-0.399473452,0.034616539,-0.018346967,-0.481757064,-0.802588057,-0.671958338,-1.198795626,-0.166882111,0.173925611,0.522006132,0.22218233,0.211528241,0.044141855,-0.055393415,-0.205768262,-0.011142861,0.757988156,0.425742926,0.083570175,0.166000095,0.642703027,-0.320263176,0.499482281,0.034501228,0.265457199,-0.185892203,-0.080707243,0.105354093,0.149758545,0.01542949,-0.293132837,-0.242104296,-0.168266543,-0.166793903,0.061232984,-0.172329101,-0.128834233,-0.15755406,-0.020166216
20,DG(18:0/20:3),0.19654659,0.164650328,-0.013552049,0.296100028,-0.004172189,0.228361753,0.125105775,-0.07397461,0.128624788,-0.085933281,0.020600636,-0.345721038,0.128601458,-0.22999413,-0.597382607,-0.271912904,0.150633362,0.140579256,-0.119549008,0.122577679,0.008159335,0.25659426,-0.041709297,-0.322512538,0.48421511,0.288602066,0.38816862,-0.018780825,0.185963193,0.001705807,-0.218172039,-0.335263398,0.377279221,0.298147521,0.117799186,-0.358010465,0.162310684,0.091258431,-0.353736837,0.236514391,-0.307616991,0.350985448,0.105501108,0.085290526,-0.321356417,-0.404008247,-0.04260551,-0.286748384,0.165637717,0.021467671,0.288205175,0.416857767,-0.031202553,0.027792713,-0.034790749,0.046308549,0.503071408,0.534903053,0.026512892,0.348861179,0.049595834,-0.057305168,0.218242746,0.004771365,0.189684509,-0.220226415,-0.364630032,-0.267674018,-0.304268071,0.023459206,-0.115485473,-0.387478465,-0.259658687,-0.259633411,-0.158857042,-0.146703931,-0.232651634,-0.218205673,-0.194764254
21,PE(18:0/20:3),0.349501774,0.281392029,0.36122794,-0.016338281,0.028826293,-0.007455547,0.081266226,0.050826327,0.166403185,-0.343216185,-0.185142673,-0.238999516,0.153159631,-0.346626064,-0.10294622,-0.33992279,0.17781534,0.272408647,-0.308129223,-0.134234182,-0.041728298,0.222576142,-0.285050846,-0.02405369,0.390258989,0.406937139,0.288261716,-0.108081146,0.207112413,0.163029464,-0.279203369,-0.121603735,0.623927667,0.184605794,0.027121339,-0.241740688,0.127356418,0.043887304,-0.042573349,0.367546747,-0.162349801,-0.279603344,-0.010541503,-0.12509196,-0.21193496,-0.313090877,-0.142720208,-0.339228415,0.381564669,0.332032872,0.247743372,0.214367452,-0.26347357,-0.053707743,-0.363077496,0.090337431,0.624393162,0.367977631,-0.063815331,0.296971993,-0.014036687,-0.048154076,0.196645287,0.052536413,0.028916663,-0.337951005,-0.13380579,-0.142314171,-0.120725986,0.113371183,-0.192949338,-0.301900939,-0.2356676,-0.207315969,0.117326627,-0.31079016,-0.146036736,-0.195412291,-0.156891523
22,DG(18:0/22:5),0.318603031,0.223959754,0.458967655,0.308714179,0.113807486,0.278856269,-0.093922491,0.341405286,0.450615584,0.118941997,0.442126452,0.119692454,-1.356174569,0.278799032,-0.196431627,0.026747461,0.02563412,0.160531545,0.246923261,0.311435622,-0.041504551,0.439650856,0.197582372,0.055348995,0.306558659,0.274072375,0.509281849,0.355312944,0.020969179,0.223131012,0.311264143,0.206804479,0.208070532,0.105392186,-0.149600294,-0.429944667,-0.383895159,-0.193089829,-0.690706442,-0.037143488,-0.326481057,0.444705291,0.318240451,-0.053489392,-0.163862873,-0.435500424,0.201050262,-0.241779591,0.152660888,-0.527548048,0.020726559,0.028062741,-0.225848697,-0.176790703,-0.343701904,-0.271525831,0.12883392,0.394734988,0.039051209,-0.19320653,-0.046600038,-0.460165182,-0.076778484,0.025508823,0.465922286,-0.021186381,-0.108227303,0.056213085,-0.060170181,-0.152573224,-0.31797384,-0.407740911,-0.462755895,-0.378172784,-0.03954187,-0.089931432,-0.232222406,-0.161957315,-0.166765856
23,PE(P-18:1/22:6),-0.034334074,0.23924766,0.011987804,0.026214543,0.165769069,0.194610909,-0.383179858,-0.166886023,-0.148770505,0.271538926,-0.080779567,0.09251162,-1.155469021,0.048116116,-0.429649378,0.05519598,-0.070773404,0.16250191,0.127416785,0.137186565,-0.100288174,0.080725782,0.253397647,0.056370472,-0.167065233,0.239892165,0.134300658,-0.404752811,-0.086873147,-0.226111267,-0.247697199,-0.191587599,0.020589098,0.273840899,0.111540038,0.06930365,0.142415468,-0.009121795,-0.258369918,0.131757754,0.038667034,0.170282637,0.085396943,-0.200457562,-0.096212061,0.033937797,0.29937875,0.188643898,0.066596703,-0.369136655,0.064929965,0.271887161,0.145850841,0.230740094,0.0542618,0.326311171,-0.152427157,-0.064666132,0.177069497,0.154007495,-0.220110682,0.15409071,0.198744349,-0.204178041,-0.354032405,-0.175922522,0.093577146,-0.230824722,-0.037328024,-0.216830549,0.189478641,0.110097404,0.174536569,0.054111809,-0.21544025,-0.015466941,0.282645263,-0.041861818,0.144929295
24,DG(22:4/22:6),-0.291171701,-0.209322914,-0.349809343,-0.297939092,-0.532954243,-0.087307519,0.046265287,-0.538268817,-0.155006085,0.448003279,-0.189224845,-0.220561396,0.80593495,-0.180392511,-0.503875436,-0.239742191,-0.305276007,0.055766712,-0.019894098,0.182864016,-0.619989546,-0.310180016,-0.312092102,-0.0755762,-0.130998049,-0.291390186,-0.2693133,-0.190073091,-0.005831474,-0.384370949,0.150323009,-0.136919301,-0.10690535,0.004219228,0.168018264,0.160983804,0.038029755,-0.345218374,0.485417404,0.178500182,0.239414902,0.201790219,0.299482973,0.052270384,0.21924405,0.428863095,-0.001690461,-0.02994428,0.133729097,-0.242159986,0.037197726,0.087967875,0.396202999,0.433801243,0.296311738,0.06291777,-0.139114002,0.036499292,0.553861903,0.055278503,0.410120814,0.108750703,0.417609961,0.161373274,-0.513150835,0.175233269,0.074025986,-0.024110895,-0.149314122,0.078456443,0.190280623,0.320305973,0.272822741,-0.05691785,-0.181703208,0.031528629,0.035000824,0.059259763,0.043781119
25,PE(18:0/22:6),0.398543071,0.418583185,0.065992916,0.256227275,0.250217168,0.352887356,-0.297982441,-0.169237933,0.175247738,-0.096777511,-0.246907603,-0.247864189,-0.194024596,-0.096537112,-0.602315347,-0.154373529,0.003098647,-0.034520243,0.141715531,-0.254882573,0.150131269,0.253677026,-0.200736647,0.054016747,-0.025633972,0.408994211,0.486726877,0.249035074,-0.051700468,-0.33058867,-0.032699025,-0.304839823,0.142608282,0.312156496,0.116012019,0.384725959,-0.040541093,0.402474086,0.575693675,-0.109059975,0.265972852,0.256662892,-0.018663639,0.266815462,0.185226453,0.330303757,0.03855872,-0.226795454,0.397689825,0.210073742,0.114181188,0.002553088,0.023681483,0.006440128,-0.105128574,0.217179205,0.150317908,0.337968329,0.120154185,0.097571817,-0.409977979,0.282806992,-0.238046809,0.125343662,0.129983531,-0.39958867,-0.425299076,-0.525059088,-0.58142231,-0.215825294,-0.107425223,-0.230443241,-0.328439374,-0.35486371,-0.305084144,-0.170921004,-0.29131968,-0.37129524,-0.361428564
26,PC(16:1/22:6),0.154343491,0.230241692,0.315926816,0.075709591,0.160919438,0.299067484,0.135607189,0.314279487,0.295913537,0.18203287,0.327936662,0.164182884,-0.039744359,0.342078012,0.275505592,0.368760539,0.011146425,0.458335021,0.251016409,0.15570227,0.293522675,0.347064257,0.250936084,0.311334844,0.076904892,0.204886469,0.199017632,0.465239125,0.166148149,0.25999734,0.061550896,0.243462037,-0.369532068,-0.26263343,-0.264631089,-0.229585925,-0.285869253,-0.106204156,-0.499183643,-0.34418114,-0.416022933,-0.270675953,-0.279865994,-0.327629564,-0.049138576,-0.326639879,0.018154224,-0.081326644,-0.178879377,-0.839733246,-0.025499517,-0.140579473,-0.281243194,-0.21935016,-0.045922398,-0.265432171,-0.435144849,-0.30827596,-0.389060496,-0.249322388,-0.253604376,-0.377091388,-0.320093956,0.007105426,0.054216773,0.340946165,0.352590429,0.320972607,0.268680899,-0.293315556,-0.125479893,-0.108096566,-0.138711952,-0.216136528,0.046276649,0.162188555,0.21435656,0.103638135,0.07594182
